SNO,Date,Time,MQ138,Voltage_V
292,26-09-2025,14:39:53:872285,2528,4.01
293,26-09-2025,14:39:57:356285,2531,4.01
294,26-09-2025,14:40:01:031285,2530,3.96
295,26-09-2025,14:40:04:523284,2498,4.01
296,26-09-2025,14:40:08:614285,2499,3.99
297,26-09-2025,14:40:11:896285,2499,3.98
298,26-09-2025,14:40:15:270285,2532,4.19
299,26-09-2025,14:40:19:271285,2498,4.02
300,26-09-2025,14:40:22:745285,2441,4.04
301,26-09-2025,14:40:25:813285,2448,3.98
302,26-09-2025,14:40:30:117285,2449,4.01
303,26-09-2025,14:40:33:618284,2449,4.03
304,26-09-2025,14:40:37:087285,2451,4.01
305,26-09-2025,14:40:41:173285,2499,4.01
306,26-09-2025,14:40:44:451285,2505,4.01
307,26-09-2025,14:40:47:734295,2463,4.08
308,26-09-2025,14:40:51:413285,2458,4.07
309,26-09-2025,14:40:54:697285,2501,4
310,26-09-2025,14:40:58:177285,2453,3.99
311,26-09-2025,14:41:01:447285,2504,4.06
312,26-09-2025,14:41:04:522284,2461,4.04
313,26-09-2025,14:41:10:467285,2459,4
314,26-09-2025,14:41:13:945285,2499,4.04
315,26-09-2025,14:41:17:425285,2495,4.01
316,26-09-2025,14:41:20:913285,2497,4.03
317,26-09-2025,14:41:24:185285,2449,4.01
318,26-09-2025,14:41:27:457327,2455,4.02
319,26-09-2025,14:41:31:557284,2458,4.01
320,26-09-2025,14:41:34:828285,2461,4.11
321,26-09-2025,14:41:38:727285,2476,4.03
322,26-09-2025,14:41:42:207284,2519,4.02
323,26-09-2025,14:41:48:589281,2474,4.03
324,26-09-2025,14:41:51:624285,2480,4
325,26-09-2025,14:41:55:115284,2514,4.03
326,26-09-2025,14:41:58:594478,2459,4.03
327,26-09-2025,14:42:01:763285,2514,4.01
328,26-09-2025,14:42:05:345285,2512,4.05
329,26-09-2025,14:42:08:424285,2515,4.02
330,26-09-2025,14:42:12:311285,2520,4.03
331,26-09-2025,14:42:15:175285,2512,4.04
332,26-09-2025,14:42:18:052284,2512,3.96
333,26-09-2025,14:42:21:333285,2480,4.02
334,26-09-2025,14:42:25:237283,2478,3.99
335,26-09-2025,14:42:28:719285,2469,4.16
336,26-09-2025,14:42:33:228286,2468,4.03
337,26-09-2025,14:42:36:067284,2512,4.12
338,26-09-2025,14:42:39:577283,2474,4.01
339,26-09-2025,14:42:43:657283,2515,4.02
340,26-09-2025,14:42:46:536283,2479,4
341,26-09-2025,14:42:51:042285,2514,4.04
342,26-09-2025,14:42:54:509285,2478,4.02
343,26-09-2025,14:42:57:580285,2478,4.05
344,26-09-2025,14:43:00:662284,2475,4.01
345,26-09-2025,14:43:03:941285,2480,4.02
346,26-09-2025,14:43:06:995286,2473,4.02
347,26-09-2025,14:43:10:323284,2447,4
348,26-09-2025,14:43:13:149285,2479,4.04
349,26-09-2025,14:43:16:408285,2480,4.02
350,26-09-2025,14:43:19:896285,2517,4.01
351,26-09-2025,14:43:23:384285,2515,4
352,26-09-2025,14:43:26:861285,2518,4.03
353,26-09-2025,14:43:30:128285,2478,4.01
354,26-09-2025,14:43:33:632285,2475,4.03
355,26-09-2025,14:43:36:916285,2512,4
356,26-09-2025,14:43:40:371285,2512,4
357,26-09-2025,14:43:43:852284,2480,4.03
358,26-09-2025,14:43:47:136285,2513,4.05
359,26-09-2025,14:43:51:432285,2474,4.02
360,26-09-2025,14:43:54:921285,2513,4.01
361,26-09-2025,14:43:57:996285,2477,4
362,26-09-2025,14:44:01:065285,2512,4.01
363,26-09-2025,14:44:04:346285,2479,3.97
364,26-09-2025,14:44:07:620285,2480,4.01
365,26-09-2025,14:44:11:091285,2512,4.05
366,26-09-2025,14:44:14:373285,2512,4.01
367,26-09-2025,14:44:17:649285,2512,4.02
368,26-09-2025,14:44:21:961285,2480,4.01
369,26-09-2025,14:44:25:238285,2511,4
370,26-09-2025,14:44:28:941285,2479,4.12
371,26-09-2025,14:44:32:189285,2485,3.98
372,26-09-2025,14:44:35:465285,2512,4.01
373,26-09-2025,14:44:38:533284,2513,3.99
374,26-09-2025,14:44:42:017284,2480,4.04
375,26-09-2025,14:44:45:321285,2517,4.02
376,26-09-2025,14:44:48:365285,2482,4.06
377,26-09-2025,14:44:51:643285,2513,4.04
378,26-09-2025,14:44:55:338284,2480,4.03
379,26-09-2025,14:44:58:895285,2477,3.99
380,26-09-2025,14:45:01:913285,2480,4.01
381,26-09-2025,14:45:05:581285,2513,4.01
382,26-09-2025,14:45:08:441285,2477,4.03
383,26-09-2025,14:45:11:723285,2512,4.03
384,26-09-2025,14:45:14:791285,2512,4.01
385,26-09-2025,14:45:17:857285,2512,4.03
386,26-09-2025,14:45:21:141285,2513,4.03
387,26-09-2025,14:45:24:415284,2477,4.03
388,26-09-2025,14:45:27:287284,2475,4.02
389,26-09-2025,14:45:30:355285,2512,4.05
390,26-09-2025,14:45:33:427285,2512,4.07
391,26-09-2025,14:45:36:292285,2510,4.07
392,26-09-2025,14:45:39:458284,2471,4.02
393,26-09-2025,14:45:42:637285,2475,4.02
394,26-09-2025,14:45:46:137285,2478,4.02
395,26-09-2025,14:45:49:202285,2478,4.01
