SNO,Date,Time,SGP40,Voltage_V
346,25-09-2025,10:28:25:218816,31332,2.68
347,25-09-2025,10:28:28:096691,31342,2.67
348,25-09-2025,10:28:30:962830,31342,2.68
349,25-09-2025,10:28:34:652695,31334,2.68
350,25-09-2025,10:28:39:354690,31322,2.68
351,25-09-2025,10:28:42:870651,31317,2.67
352,25-09-2025,10:28:47:752691,31315,2.68
353,25-09-2025,10:28:51:649696,31311,2.66
354,25-09-2025,10:28:54:718842,31307,2.69
355,25-09-2025,10:28:59:808691,31314,2.67
356,25-09-2025,10:29:06:020691,31319,2.66
357,25-09-2025,10:29:09:703691,31325,2.66
358,25-09-2025,10:29:14:507691,31330,2.68
359,25-09-2025,10:29:18:908691,31332,2.69
360,25-09-2025,10:29:24:076687,31332,2.68
361,25-09-2025,10:29:29:244687,31337,2.68
362,25-09-2025,10:29:34:412687,31348,2.68
363,25-09-2025,10:29:39:390691,31363,2.66
364,25-09-2025,10:29:43:707651,31380,2.66
365,25-09-2025,10:29:54:577697,31386,2.66
366,25-09-2025,10:29:59:745686,31392,2.68
367,25-09-2025,10:30:14:311691,31394,2.66
368,25-09-2025,10:30:19:583691,31385,2.67
369,25-09-2025,10:30:31:816691,31381,2.67
370,25-09-2025,10:30:38:475690,31372,2.68
371,25-09-2025,10:30:44:412651,31359,2.66
372,25-09-2025,10:30:49:579693,31360,2.69
373,25-09-2025,10:30:53:200687,31363,2.67
374,25-09-2025,10:30:57:002689,31370,2.67
375,25-09-2025,10:31:00:379691,31379,2.67
376,25-09-2025,10:31:06:008691,31386,2.66
377,25-09-2025,10:31:10:127691,31391,2.66
378,25-09-2025,10:31:20:553689,31401,2.66
379,25-09-2025,10:31:25:839691,31398,2.67
380,25-09-2025,10:31:31:007686,31400,2.69
381,25-09-2025,10:31:41:126775,31364,2.66
382,25-09-2025,10:31:44:966695,31364,2.67
383,25-09-2025,10:31:48:610745,31356,2.67
384,25-09-2025,10:31:52:826691,31350,2.67
385,25-09-2025,10:31:57:239723,31343,2.67
386,25-09-2025,10:32:00:666691,31345,2.67
387,25-09-2025,10:32:03:375692,31348,2.66
388,25-09-2025,10:32:06:419716,31346,2.68
389,25-09-2025,10:32:10:507691,31349,2.69
390,25-09-2025,10:32:13:579690,31348,2.66
391,25-09-2025,10:32:18:393690,31344,2.66
392,25-09-2025,10:32:22:184690,31339,2.68
393,25-09-2025,10:32:26:797690,31342,2.68
394,25-09-2025,10:32:31:191691,31346,2.68
395,25-09-2025,10:32:34:073690,31346,2.66
396,25-09-2025,10:32:38:681690,31342,2.67
397,25-09-2025,10:32:44:769691,31332,2.68
398,25-09-2025,10:32:48:924686,31334,2.68
399,25-09-2025,10:32:52:293688,31338,2.66
400,25-09-2025,10:32:58:713654,31353,2.66
401,25-09-2025,10:33:03:696651,31369,2.66
402,25-09-2025,10:33:06:456651,31377,2.66
403,25-09-2025,10:33:09:941651,31381,2.68
404,25-09-2025,10:33:13:625651,31381,2.67
405,25-09-2025,10:33:17:527651,31381,2.66
406,25-09-2025,10:33:21:516722,31380,2.66
407,25-09-2025,10:33:26:428651,31371,2.66
408,25-09-2025,10:33:29:604651,31369,2.67
409,25-09-2025,10:33:35:555651,31365,2.67
410,25-09-2025,10:33:41:372651,31366,2.67
411,25-09-2025,10:33:44:954651,31368,2.64
412,25-09-2025,10:33:50:699651,31364,2.66
413,25-09-2025,10:33:54:170651,31370,2.68
414,25-09-2025,10:33:57:352651,31376,2.64
415,25-09-2025,10:34:00:935651,31398,2.66
416,25-09-2025,10:34:04:212651,31408,2.67
417,25-09-2025,10:34:07:936651,31420,2.66
418,25-09-2025,10:34:10:764651,31429,2.66
419,25-09-2025,10:34:13:842651,31448,2.66
420,25-09-2025,10:34:17:322651,31460,2.66
421,25-09-2025,10:34:21:827651,31463,2.66
422,25-09-2025,10:34:24:897651,31472,2.67
423,25-09-2025,10:34:28:277651,31474,2.68
424,25-09-2025,10:34:31:659651,31478,2.65
425,25-09-2025,10:34:35:338651,31479,2.67
426,25-09-2025,10:34:40:293651,31469,2.67
427,25-09-2025,10:34:43:942651,31476,2.67
428,25-09-2025,10:34:48:244651,31467,2.67
429,25-09-2025,10:34:53:771651,31472,2.67
430,25-09-2025,10:34:58:692651,31488,2.67
431,25-09-2025,10:35:01:773651,31499,2.66
432,25-09-2025,10:35:05:042651,31501,2.67
433,25-09-2025,10:35:08:552651,31505,2.66
434,25-09-2025,10:35:12:412651,31503,2.67
435,25-09-2025,10:35:17:431651,31505,2.66
436,25-09-2025,10:35:20:409651,31503,2.66
437,25-09-2025,10:35:23:679651,31506,2.66
438,25-09-2025,10:35:26:455651,31509,2.66
439,25-09-2025,10:35:29:230651,31507,2.66
440,25-09-2025,10:35:33:093651,31510,2.66
441,25-09-2025,10:35:35:971651,31516,2.67
442,25-09-2025,10:35:39:037651,31515,2.66
443,25-09-2025,10:35:41:905656,31521,2.64
444,25-09-2025,10:35:44:581651,31527,2.66
445,25-09-2025,10:35:48:570651,31537,2.67
446,25-09-2025,10:35:51:737651,31545,2.66
447,25-09-2025,10:35:54:401651,31546,2.66
448,25-09-2025,10:35:57:669651,31543,2.67
449,25-09-2025,10:36:00:957651,31552,2.66
