SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
303,14-08-2025,14:05:24:467926,596,18.76,54.2,167101
304,14-08-2025,14:05:25:695926,596,18.78,54.25,170269
305,14-08-2025,14:05:27:129926,596,18.78,54.26,168754
306,14-08-2025,14:05:28:365926,596,18.8,54.27,170951
307,14-08-2025,14:05:29:586926,596,18.81,54.28,171639
308,14-08-2025,14:05:30:815926,596,18.83,54.3,172681
309,14-08-2025,14:05:32:863926,596,18.8,54.29,162488
310,14-08-2025,14:05:34:296926,596,18.8,54.34,163421
311,14-08-2025,14:05:35:730926,596,18.8,54.37,164683
312,14-08-2025,14:05:37:164926,596,18.8,54.42,165321
313,14-08-2025,14:05:38:394926,596,18.81,54.51,167923
314,14-08-2025,14:05:39:826926,596,18.8,54.6,167429
315,14-08-2025,14:05:41:260926,596,18.79,54.66,167101
316,14-08-2025,14:05:42:695926,596,18.78,54.74,166938
317,14-08-2025,14:05:44:127926,596,18.76,54.82,167101
318,14-08-2025,14:05:45:356926,596,18.77,54.89,169592
319,14-08-2025,14:05:46:789926,596,18.75,54.97,167594
320,14-08-2025,14:05:48:223926,596,18.74,55.09,167265
321,14-08-2025,14:05:49:657926,596,18.72,55.3,165964
322,14-08-2025,14:05:51:091926,596,18.71,55.61,165161
323,14-08-2025,14:05:52:528926,596,18.7,56.07,164524
324,14-08-2025,14:05:53:957926,596,18.68,56.55,164365
325,14-08-2025,14:05:55:393926,596,18.67,56.92,164524
326,14-08-2025,14:05:56:825926,596,18.67,57.14,164207
327,14-08-2025,14:05:58:258926,596,18.67,57.24,163892
328,14-08-2025,14:05:59:692926,596,18.67,57.26,164365
329,14-08-2025,14:06:01:127001,596,18.67,57.23,164842
330,14-08-2025,14:06:02:559926,596,18.67,57.18,165321
331,14-08-2025,14:06:03:993926,596,18.68,57.14,164365
332,14-08-2025,14:06:05:430926,596,18.68,57.13,165642
333,14-08-2025,14:06:06:655926,596,18.7,57.1,166938
334,14-08-2025,14:06:08:293926,596,18.7,57.07,163735
335,14-08-2025,14:06:09:729926,596,18.7,57.08,163265
336,14-08-2025,14:06:11:161926,596,18.71,57.07,163421
337,14-08-2025,14:06:12:594926,596,18.72,57.05,163892
338,14-08-2025,14:06:14:028926,596,18.73,57.06,163735
339,14-08-2025,14:06:15:461926,596,18.74,57.05,163109
340,14-08-2025,14:06:17:305926,596,18.74,57.05,157684
341,14-08-2025,14:06:18:739926,596,18.75,57.08,159750
342,14-08-2025,14:06:20:173926,596,18.75,57.07,161718
343,14-08-2025,14:06:21:401926,596,18.76,57.04,165161
344,14-08-2025,14:06:22:836926,596,18.75,56.98,165001
345,14-08-2025,14:06:24:269926,596,18.74,56.9,165001
346,14-08-2025,14:06:25:701926,596,18.72,56.86,164365
347,14-08-2025,14:06:27:545926,596,18.69,56.81,159451
348,14-08-2025,14:06:28:979926,596,18.67,56.8,161259
349,14-08-2025,14:06:30:412926,596,18.65,56.76,162179
350,14-08-2025,14:06:31:847926,596,18.63,56.76,163421
351,14-08-2025,14:06:33:279926,596,18.61,56.77,163735
352,14-08-2025,14:06:34:713926,596,18.6,56.77,164049
353,14-08-2025,14:06:36:147926,596,18.6,56.8,164524
354,14-08-2025,14:06:37:582926,596,18.59,56.83,164683
355,14-08-2025,14:06:39:017926,596,18.59,56.88,165001
356,14-08-2025,14:06:40:243926,596,18.61,56.91,167265
357,14-08-2025,14:06:41:471926,596,18.62,56.95,169424
358,14-08-2025,14:06:42:905926,596,18.62,56.97,166938
359,14-08-2025,14:06:44:134926,596,18.63,57,169256
360,14-08-2025,14:06:45:362926,596,18.65,57.03,169930
361,14-08-2025,14:06:46:797926,596,18.65,57.05,167758
362,14-08-2025,14:06:48:434926,596,18.64,57.11,162642
363,14-08-2025,14:06:49:870926,596,18.64,57.18,163892
364,14-08-2025,14:06:51:301926,596,18.64,57.24,163735
365,14-08-2025,14:06:52:530926,596,18.66,57.32,166775
366,14-08-2025,14:06:53:964926,596,18.67,57.44,165001
367,14-08-2025,14:06:55:399926,596,18.67,57.53,164207
368,14-08-2025,14:06:56:626926,596,18.69,57.6,166125
369,14-08-2025,14:06:58:265926,596,18.69,57.66,161871
370,14-08-2025,14:06:59:493926,596,18.71,57.71,164842
371,14-08-2025,14:07:00:927926,596,18.71,57.76,164365
372,14-08-2025,14:07:02:362926,596,18.72,57.84,163421
373,14-08-2025,14:07:03:794926,596,18.73,57.92,162798
