SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
257,13-08-2025,11:37:16:595474,322,20.8,40.1,63100
258,13-08-2025,11:37:17:815474,322,20.8,40.09,63665
259,13-08-2025,11:37:19:249474,322,20.79,40.07,63570
260,13-08-2025,11:37:20:478474,322,20.8,40.07,64096
261,13-08-2025,11:37:21:912474,322,20.79,40.06,64337
262,13-08-2025,11:37:23:345474,322,20.78,40.05,64048
263,13-08-2025,11:37:24:603474,322,20.78,40.04,64386
264,13-08-2025,11:37:25:803473,322,20.79,40.03,65073
265,13-08-2025,11:37:27:236474,322,20.78,39.99,65123
266,13-08-2025,11:37:28:693474,322,20.77,39.95,64434
267,13-08-2025,11:37:29:912474,322,20.78,39.92,64925
268,13-08-2025,11:37:31:127474,322,20.78,39.88,65272
269,13-08-2025,11:37:32:561474,322,20.77,39.84,65073
270,13-08-2025,11:37:33:994474,322,20.76,39.81,65024
271,13-08-2025,11:37:35:428474,322,20.75,39.8,65024
272,13-08-2025,11:37:36:861474,322,20.74,39.81,64630
273,13-08-2025,11:37:38:297474,322,20.73,39.82,65024
274,13-08-2025,11:37:39:730474,322,20.72,39.85,64337
275,13-08-2025,11:37:41:163474,322,20.72,39.89,64240
276,13-08-2025,11:37:42:597474,322,20.71,39.91,64000
277,13-08-2025,11:37:44:030474,322,20.71,39.94,63904
278,13-08-2025,11:37:45:463474,322,20.71,39.97,64048
279,13-08-2025,11:37:46:901474,322,20.71,40.01,64337
280,13-08-2025,11:37:48:152474,322,20.72,40.03,64337
281,13-08-2025,11:37:49:357474,322,20.74,40.07,65024
282,13-08-2025,11:37:50:813474,322,20.74,40.1,64925
283,13-08-2025,11:37:52:245473,322,20.74,40.12,64240
284,13-08-2025,11:37:53:656474,322,20.74,40.16,64532
285,13-08-2025,11:37:54:910474,322,20.76,40.19,65024
286,13-08-2025,11:37:56:348474,322,20.76,40.21,65024
287,13-08-2025,11:37:57:781474,322,20.77,40.23,64679
288,13-08-2025,11:37:59:001473,322,20.79,40.24,64826
289,13-08-2025,11:38:00:414474,322,20.8,40.25,64974
290,13-08-2025,11:38:01:776474,322,20.81,40.27,64777
291,13-08-2025,11:38:03:076474,322,20.83,40.34,64679
292,13-08-2025,11:38:04:512474,322,20.84,40.42,64679
293,13-08-2025,11:38:05:770474,322,20.85,40.5,64728
294,13-08-2025,11:38:07:203473,322,20.86,40.56,64483
295,13-08-2025,11:38:08:644474,322,20.87,40.65,64048
296,13-08-2025,11:38:10:040474,322,20.88,40.7,64192
297,13-08-2025,11:38:11:473473,322,20.88,40.78,64048
298,13-08-2025,11:38:12:908473,322,20.89,40.83,63665
299,13-08-2025,11:38:14:364474,322,20.9,40.88,63429
