SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
2959,13-08-2025,13:09:45:783845,Pre-Puff,386,81,0,19.86,50.1,182661,31207,N/A,N/A,N/A
2960,13-08-2025,13:09:47:218845,Pre-Puff,386,82,0,19.86,50.17,182857,31207,N/A,N/A,N/A
2961,13-08-2025,13:09:48:650844,Pre-Puff,386,81,0,19.87,50.26,183446,31208,N/A,N/A,N/A
2962,13-08-2025,13:09:50:085845,Pre-Puff,386,81,0,19.87,50.31,183842,31205,N/A,N/A,N/A
2963,13-08-2025,13:09:51:518845,Pre-Puff,386,80,0,19.88,50.36,184238,31210,N/A,N/A,N/A
2964,13-08-2025,13:09:52:953845,Pre-Puff,386,79,0,19.88,50.42,184238,31203,N/A,N/A,N/A
2965,13-08-2025,13:09:55:615846,Pre-Puff,386,81,0,19.86,50.54,173913,31201,N/A,N/A,N/A
2966,13-08-2025,13:09:57:048846,Pre-Puff,386,81,0,19.87,50.62,176978,31201,N/A,N/A,N/A
2967,13-08-2025,13:09:58:505845,Pre-Puff,386,82,0,19.87,50.65,178646,31200,N/A,N/A,N/A
2968,13-08-2025,13:09:59:915845,Pre-Puff,386,80,0,19.88,50.66,180345,31202,N/A,N/A,N/A
2969,13-08-2025,13:10:01:350846,Pre-Puff,386,81,0,19.89,50.66,181495,31200,N/A,N/A,N/A
2970,13-08-2025,13:10:02:806846,Pre-Puff,386,81,0,19.9,50.67,182661,31200,N/A,N/A,N/A
2971,13-08-2025,13:10:04:219846,Pre-Puff,386,83,0,19.91,50.66,183249,31196,N/A,N/A,N/A
2972,13-08-2025,13:10:05:674846,Pre-Puff,386,81,0,19.91,50.67,183842,31196,N/A,N/A,N/A
2973,13-08-2025,13:10:07:097846,Pre-Puff,386,81,0,19.92,50.67,183644,31196,N/A,N/A,N/A
2974,13-08-2025,13:10:08:536846,Pre-Puff,386,84,0,19.92,50.67,185037,31195,N/A,N/A,N/A
2975,13-08-2025,13:10:09:979846,Pre-Puff,386,81,0,19.92,50.68,184438,31198,N/A,N/A,N/A
2976,13-08-2025,13:10:11:416846,Pre-Puff,386,80,0,19.92,50.68,183446,31198,N/A,N/A,N/A
2977,13-08-2025,13:10:12:819846,Pre-Puff,386,80,0,19.93,50.65,185037,31199,N/A,N/A,N/A
2978,13-08-2025,13:10:14:252846,Pre-Puff,386,82,0,19.93,50.64,184837,31201,N/A,N/A,N/A
