SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
148,28-07-2025,21:52:17:436525,Puff,322,117,4095,30.18,62.3,91.62,30855,YES,N/A,0
149,28-07-2025,21:52:19:242528,Puff,322,118,4095,30.18,62.29,91.72,30854,YES,N/A,0
150,28-07-2025,21:52:21:048525,Puff,322,83,4095,30.19,62.28,92.02,30855,YES,N/A,0
151,28-07-2025,21:52:22:854528,Puff,322,80,4095,30.19,62.27,92.22,30855,YES,N/A,0
152,28-07-2025,21:52:24:660525,Puff,322,118,4095,30.2,62.27,92.12,30848,YES,N/A,0
153,28-07-2025,21:52:26:466528,Puff,322,118,4095,30.2,62.26,91.92,30847,YES,N/A,0
154,28-07-2025,21:52:28:272525,Puff,322,117,4095,30.21,62.25,93.91,30854,YES,N/A,0
155,28-07-2025,21:52:30:078528,Puff,322,116,4095,30.21,62.21,91.82,30848,YES,N/A,0
156,28-07-2025,21:52:31:884525,Puff,322,116,4095,30.2,62.19,91.53,30851,YES,N/A,0
157,28-07-2025,21:52:33:690528,Puff,322,117,4095,30.19,62.18,92.02,30856,YES,N/A,0
158,28-07-2025,21:52:35:497554,Puff,322,119,4095,30.18,62.2,93.81,30855,YES,N/A,0
159,28-07-2025,21:52:37:303528,Puff,322,79,4095,30.17,62.19,91.92,30852,YES,N/A,0
160,28-07-2025,21:52:39:109524,Puff,322,117,4095,30.17,62.2,92.02,30854,YES,N/A,0
161,28-07-2025,21:52:40:915528,Puff,322,121,4095,30.16,62.23,93.91,30855,YES,N/A,0
162,28-07-2025,21:52:42:721525,Puff,322,123,4095,30.16,62.25,93.86,30858,YES,N/A,0
163,28-07-2025,21:52:44:527528,Puff,322,117,4095,30.16,62.25,92.22,30862,YES,N/A,0
164,28-07-2025,21:52:46:333525,Puff,322,96,4095,30.15,62.27,93.96,30859,YES,N/A,0
165,28-07-2025,21:52:48:139528,Puff,322,128,4095,30.15,62.27,93.96,30859,YES,N/A,0
166,28-07-2025,21:52:49:945525,Puff,322,117,4095,30.15,62.28,94.17,30855,YES,N/A,0
167,28-07-2025,21:52:51:751528,Puff,322,123,4095,30.15,62.28,92.22,30856,YES,N/A,0
168,28-07-2025,21:52:53:557524,Puff,322,78,4095,30.14,62.29,93.96,30858,YES,N/A,0
169,28-07-2025,21:52:55:364559,Puff,322,106,4095,30.13,62.29,94.17,30860,YES,N/A,0
170,28-07-2025,21:52:57:170524,Puff,322,121,4095,30.12,62.33,92.22,30863,YES,N/A,0
171,28-07-2025,21:52:58:976528,Puff,322,112,4095,30.11,62.34,93.86,30861,YES,N/A,0
